date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:31:19	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jan%202016%2015:01:00%20GMT	http://lambda.oxygenna.com/creative/'http://lambda.oxygenna.com/creative/wp-content/uploads/sites/8/2014/10/services-bg-3.jpg'	D:/website/digiXinfo/lambda.oxygenna.com/creative/'http_/lambda.oxygenna.com/creative/wp-content/uploads/sites/8/2014/10/services-bg-3.jpg'	(from http://lambda.oxygenna.com/creative/)
20:31:20	52080/52080	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/portfolio-masonry/	D:/website/digiXinfo/lambda.oxygenna.com/creative/portfolio-masonry/index.html	(from http://lambda.oxygenna.com/creative/)
20:31:20	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Jan%202016%2015:01:01%20GMT	http://lambda.oxygenna.com/creative/http:/lambda.oxygenna.com/creative/wp-content/uploads/sites/8/2014/10/services-bg-3.jpg	D:/website/digiXinfo/lambda.oxygenna.com/creative/http_/lambda.oxygenna.com/creative/wp-content/uploads/sites/8/2014/10/services-bg-3.jpg	(from http://lambda.oxygenna.com/creative/)
20:31:22	50206/50206	---MCZ	200	added ('OK')	text/html	date:Fri,%2022%20Jan%202016%2015:01:02%20GMT	http://lambda.oxygenna.com/creative/fullwidth/	D:/website/digiXinfo/lambda.oxygenna.com/creative/fullwidth/index.html	(from http://lambda.oxygenna.com/creative/)
20:31:23	41428/41428	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/portfolio/old-guitar/	D:/website/digiXinfo/lambda.oxygenna.com/creative/portfolio/old-guitar/index.html	(from http://lambda.oxygenna.com/creative/)
20:31:23	3367/3367	---M--	200	added ('OK')	image/png	etag:%22544a14aa-d27%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/responsive-300-white.png	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/responsive-300-white.png	(from http://lambda.oxygenna.com/creative/)
20:31:24	97270/97270	---M--	200	added ('OK')	image/jpeg	etag:%22544a14c5-17bf6%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p11-800x600.jpg	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/p11-800x600.jpg	(from http://lambda.oxygenna.com/creative/)
20:31:24	44729/44729	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/portfolio/rapid-longitude/	D:/website/digiXinfo/lambda.oxygenna.com/creative/portfolio/rapid-longitude/index.html	(from http://lambda.oxygenna.com/creative/)
20:31:25	40921/40921	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/portfolio/frozen-logbook/	D:/website/digiXinfo/lambda.oxygenna.com/creative/portfolio/frozen-logbook/index.html	(from http://lambda.oxygenna.com/creative/)
20:31:25	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jan%202016%2015:01:06%20GMT	http://lambda.oxygenna.com/creative/'http://lambda.oxygenna.com/creative/wp-content/uploads/sites/8/2014/10/services-bg-2.jpg'	D:/website/digiXinfo/lambda.oxygenna.com/creative/'http_/lambda.oxygenna.com/creative/wp-content/uploads/sites/8/2014/10/services-bg-2.jpg'	(from http://lambda.oxygenna.com/creative/)
